Tissue,sgID,Cell_Line,Mouse_Genotype,Sex,Time_Point,MetBurden,MetSeeding,SizePercentile,PeakMode,MetDormancy
Liver,Actr3mmu-sg1,rp48,NSG,F,1week,0.698249051944791,0.781549725997681,0.899173120233247,0.343681713720548,1.00938019978824
Liver,Actr3mmu-sg2,rp48,NSG,F,1week,0.618570210196726,0.481217121287809,1.0770290964778,0.458270523912034,0.93872358580306
Liver,Actr3mmu-sg3,rp48,NSG,F,1week,0.629053030395831,0.628025422497241,1.28666747457323,0.170663510299088,0.922677028780785
Liver,Arpc4mmu-sg1,rp48,NSG,F,1week,0.85929500108845,0.667342314542166,1.04588421523583,0.435070224075325,0.977837068544854
Liver,Arpc4mmu-sg2,rp48,NSG,F,1week,0.463646408220042,0.5129087830297,1.15786462315702,,0.869188505373204
Liver,Arpc4mmu-sg3,rp48,NSG,F,1week,0.415444000425028,0.466679796498442,0.726486995282621,,0.948205642225313
Liver,Bag1mmu-sg1,rp48,NSG,F,1week,0.801170179315955,0.757405627431182,0.924446273751215,0.563073850857676,1.04302620644784
Liver,Bag1mmu-sg2,rp48,NSG,F,1week,0.779314752648431,0.828525739077805,0.857076027677047,0.216027655229785,1.01789304484669
Liver,Bag1mmu-sg3,rp48,NSG,F,1week,1.2315657823323,0.792656273863666,1.95213087480375,0.447027879801256,0.927134405731417
Liver,Brk1mmu-sg2,rp48,NSG,F,1week,0.6855896042419,0.491863468300064,1.55061255742726,0.234682626856574,0.944361565297372
Liver,Brk1mmu-sg3,rp48,NSG,F,1week,0.725853534495668,0.277802760547268,4.65929499773861,0.444172496195416,0.792699916900362
Liver,Cdh6mmu-sg2,rp48,NSG,F,1week,0.81961708267307,0.850344838138383,1.06078120983065,0.502271023398081,1.02257471220377
Liver,Cdh6mmu-sg3,rp48,NSG,F,1week,1.17106940522466,0.934503946814236,1.09110554618441,0.505079738884912,1.00185411935122
Liver,Chd7mmu-sg1,rp48,NSG,F,1week,1.35715119473035,1.0211712453353,1.15199117059157,1.01335487376065,1.00312902915203
Liver,Chd7mmu-sg2,rp48,NSG,F,1week,1.22695543107672,0.966714488737742,1.21217457886677,1.06388975626812,0.9979571728359
Liver,Chd7mmu-sg3,rp48,NSG,F,1week,1.37082505007562,1.11380105359531,1.30528770824764,1.081225157942,0.973491126017988
Liver,Crebbpmmu-sg1,rp48,NSG,F,1week,1.49098017404911,1.3627971515189,1.12343032159265,0.99725395412441,1.00203391012457
Liver,Crebbpmmu-sg2,rp48,NSG,F,1week,1.71381410196905,1.61810721267341,1.03620660639605,0.981263273171657,1.00882862590857
Liver,Crebbpmmu-sg3,rp48,NSG,F,1week,1.74109647536371,1.34236147966875,1.36088274933361,1.01205114675565,0.979285716053809
Liver,Ctnnd1mmu-sg1,rp48,NSG,F,1week,1.01098823302876,0.89190642424385,1.13021596105107,1.06551739325631,0.986404783812104
Liver,Ctnnd1mmu-sg2,rp48,NSG,F,1week,0.978048033161889,0.73753901247895,1.40764841807115,1.1441911807706,0.986262875484696
Liver,Ctnnd1mmu-sg3,rp48,NSG,F,1week,0.698893364078398,0.704113338357626,1.05784438292771,0.44703827190984,0.998830180750902
Liver,Ewsr1mmu-sg1,rp48,NSG,F,1week,1.05338417609379,0.952010757257866,0.86083864182921,0.235820448923539,0.986646411504718
Liver,Ewsr1mmu-sg2,rp48,NSG,F,1week,0.529025213417014,0.764508247310972,0.659797401057713,0.319891094376579,1.04302620644784
Liver,Ewsr1mmu-sg3,rp48,NSG,F,1week,0.991432543607783,0.700804801031991,1.32434915773354,0.592076224422542,0.983424708936539
Liver,Gabrr1mmu-sg1,rp48,NSG,F,1week,0.96884616918247,0.852738998885206,1.19411991767694,0.454889505064854,1.00705978553585
Liver,Gabrr1mmu-sg2,rp48,NSG,F,1week,0.717902842636141,0.645804720199718,0.987458834997301,0.423174923916086,0.997010344398675
Liver,Gabrr1mmu-sg3,rp48,NSG,F,1week,1.03918953875334,0.819206407027504,1.10667727306597,0.592525778727424,1.00045370822548
Liver,Gata6mmu-sg1,rp48,NSG,F,1week,1.00963564594743,0.974937288086684,0.988708158411243,0.228927023195189,1.00610492480367
Liver,Gata6mmu-sg2,rp48,NSG,F,1week,1.02356590783144,0.844274415250473,1.16998468606432,0.406389743245547,0.98813009031901
Liver,Gata6mmu-sg3,rp48,NSG,F,1week,0.693036493377521,0.726219071492599,0.931110798800672,0.523457808994397,1.00290981389216
Liver,Gpatch8mmu-sg1,rp48,NSG,F,1week,0.922020915513964,0.850256982474024,0.856049004594181,0.376377943377814,1.00509798075883
Liver,Gpatch8mmu-sg2,rp48,NSG,F,1week,1.23207429612768,0.694784075690517,2.01397403981902,0.340491696466298,0.899865746739317
