gene,Tissue,Statistic,estimate_BL6 rp48 Female vs Male,estimate_NSG rp48 Female vs Male,estimate_BL6 rp116 Female vs Male,estimate_NSG rp116 Female vs Male,p.value_BL6 rp48 Female vs Male,p.value_NSG rp48 Female vs Male,p.value_BL6 rp116 Female vs Male,p.value_NSG rp116 Female vs Male,estimate_Female rp48 BL6 vs NSG,estimate_Male rp48 BL6 vs NSG,estimate_Female rp116 BL6 vs NSG,estimate_Male rp116 BL6 vs NSG,p.value_Female rp48 BL6 vs NSG,p.value_Male rp48 BL6 vs NSG,p.value_Female rp116 BL6 vs NSG,p.value_Male rp116 BL6 vs NSG
Bag1,Liver,Log2FC_MetBurden,0.633560088616603,-0.195929683875261,-1.35284369448772,0.187310898811784,0.519631028025044,0.351642020714986,0.372424363296781,0.527533749765959,1.06994681919512,0.240457046703258,-0.280095922182187,1.26005867111731,0.227660830887248,0.602575241166684,0.822140656269682,0.0458364043843292
Brk1,Liver,Log2FC_MetBurden,0.601187810102515,-1.99273009850044,-0.88887628618941,1.81418556041605,0.714892495029498,0.195960988375932,0.643860330361109,0.0981504117989098,1.43155078359094,-1.16236712501202,0.479973162069789,3.18303500867525,0.356971605563338,0.468840766283981,0.760585868796333,0.028490633877887
Cdh6,Liver,Log2FC_MetBurden,3.38406000728105,0.16655285693284,0.264550654756054,0.733910216764188,0.0499205817180535,0.538436617555404,0.902361815877035,0.0813018148061461,3.08805755211467,-0.12944959823354,0.880472041666523,1.34983160367466,0.0642083830801107,0.780888943883526,0.549754019863872,0.235671442111663
Chd7,Liver,Log2FC_MetBurden,-0.113769848363638,-0.202638333365102,-1.57131010931412,1.66204289313163,0.84755361027776,0.195197206747272,0.52447777756994,0.334279163889442,0.461508001443986,0.372639516442522,-2.38835064332125,0.845002359124498,0.389876080572689,0.219212718670158,0.316636173255491,0.631708834908065
Crebbp,Liver,Log2FC_MetBurden,1.22121869388952,0.174766327505051,1.60545286687707,0.796378982121843,0.211285290610583,0.427837600705364,0.0571265197726946,0.000933605859521151,1.43803655234633,0.391584185961862,0.628515019753054,-0.180558865002171,0.127542329140065,0.2677835619537,0.410065919718897,0.62855035680908
Ctnnd1,Liver,Log2FC_MetBurden,0.0458704251754783,-0.196864319838106,1.99639194941085,-0.132177658679726,0.916350022838471,0.33273060134173,0.119853609681467,0.709555803692252,0.285897329139146,0.0431625841255618,2.5379760626908,0.409406454600227,0.438194502173434,0.889668562866856,0.00952032694545207,0.637999747386473
Gabrr1,Liver,Log2FC_MetBurden,1.55745676833455,0.236695331019883,3.45645666328916,-0.839037895608224,0.121493587922991,0.337165930665788,0.0155935648023763,0.378872201384842,1.78105761196891,0.460296174654248,4.69259424400019,0.397099685102799,0.0705566096318542,0.180468851711862,9.35853766648759e-05,0.740206979198981
Gata6,Liver,Log2FC_MetBurden,0.0197811007882176,0.215119094444237,1.52944418877178,0.154683223947079,0.98574507078265,0.300170326157043,0.272632661413161,0.5567594817424,1.20397419972785,1.39931219338387,1.54853323944982,0.173772274625125,0.158899394025805,0.070461210419637,0.158613037169778,0.820682029399438
Gpatch8,Liver,Log2FC_MetBurden,2.03416261956139,-0.0641833159916551,1.99021774811596,1.04736229117983,0.0775591438177328,0.748286004501702,0.228505794907913,0.012526081657027,3.16497880960361,1.06663287405056,0.822985067860186,-0.119870389075944,0.00560300121532524,0.0111941662377762,0.556695300774071,0.858638942655736
Inpp5e,Liver,Log2FC_MetBurden,0.83059089321896,-0.339207265889874,2.4552507381725,0.409619870126608,0.452473855916581,0.223574164312622,0.112377521341811,0.383484586641019,1.7020221505878,0.532223991478966,2.57658364085115,0.530952772805255,0.0339636873989676,0.511013504940191,0.0169058344284074,0.600530489581111
KMT5B,Liver,Log2FC_MetBurden,2.44813334709013,0.201715228239122,2.32634951083348,-0.37912579316255,0.0194618501898725,0.452543671528262,0.0308791386947745,0.327931095186377,2.449484038095,0.203065919243983,2.55193150346093,-0.153543800535098,0.0172278163055089,0.539330044590274,0.00334477208719706,0.814291068521929
Kctd10,Liver,Log2FC_MetBurden,0.154822089586633,-0.00642976976172952,0.0398643646342154,0.377921253655615,0.903559768951845,0.988926307774917,0.97528150753425,0.75052361383702,1.69948201220736,1.538230152859,-1.04441803484055,-0.706361145819152,0.106930653996286,0.0688638325580282,0.349817390512268,0.637486531660601
Kdm5a,Liver,Log2FC_MetBurden,2.63978185376389,-0.444748905261095,0,0,0.151785989741596,0.352814917301182,,,2.18693013735032,-0.897600621674662,0,0,0.086594237512934,0.296376931595571,,
Lamc1,Liver,Log2FC_MetBurden,1.9233585939631,0.568552783867563,0.397800064870875,0.25154298424696,0.143097191651447,0.0956919890425359,0.846012887308736,0.488423869367028,1.18577174576427,-0.169034064331273,1.12091810068565,0.974661020061739,0.341684530730507,0.631431018242587,0.411482374211522,0.384925675158456
Madd,Liver,Log2FC_MetBurden,-0.508348679127546,-0.0738711755193077,3.71402245882895,0.176730516517705,0.65791049766818,0.760456015078038,0.024741607529369,0.62301609180775,0.992411445359823,1.42688894896806,5.55341142596158,2.01611948365034,0.14471802945169,0.133197652784621,6.38452895086504e-07,0.058872148067199
Mga,Liver,Log2FC_MetBurden,1.96010452197157,-0.188161158257703,1.01228340607109,-1.64486085569114,0.108583932521968,0.438522950436718,0.364473548661041,0.152601872381863,3.05148876946691,0.903223089237634,1.60704213276119,-1.05010212900104,0.00317315139639723,0.224945681087173,0.00707028784911267,0.452094802294695
Pten,Liver,Log2FC_MetBurden,2.93381003094181,0.480132673100286,-1.15752437765804,0.248588862916462,0.111278571883808,0.247890984092923,0.51295788633245,0.359680305948265,6.30264310717579,3.84896574933427,-0.169589276213527,1.23652396436097,7.33977464650335e-05,0.00323080395254388,0.892102439914996,0.318314367537354
Runx1t1,Liver,Log2FC_MetBurden,0.970894953596421,-0.0364713454925307,-0.298004757906308,0.26883318732123,0.377624057477992,0.877165987224569,0.82146321000773,0.345751131388514,1.59755554703611,0.590189247947157,0.279588379562988,0.846426324790527,0.0841445179756996,0.376690868225998,0.793126772173123,0.296653989608107
Trip12,Liver,Log2FC_MetBurden,2.43442286770778,-0.122114105823073,2.81952590795779,-0.00625338035163618,0.141441338612439,0.57347778522973,0.470578727383609,0.997041205624455,4.06074549160589,1.50420851807504,2.77569964282745,-0.0500796454819774,0.0123431969362963,0.00895000439716205,0.178179755635718,0.984405822119559
