gene,Tissue,Statistic,estimate_BL6 rp48 Female vs Male,estimate_NSG rp48 Female vs Male,estimate_BL6 rp116 Female vs Male,estimate_NSG rp116 Female vs Male,p.value_BL6 rp48 Female vs Male,p.value_NSG rp48 Female vs Male,p.value_BL6 rp116 Female vs Male,p.value_NSG rp116 Female vs Male,estimate_Female rp48 BL6 vs NSG,estimate_Male rp48 BL6 vs NSG,estimate_Female rp116 BL6 vs NSG,estimate_Male rp116 BL6 vs NSG,p.value_Female rp48 BL6 vs NSG,p.value_Male rp48 BL6 vs NSG,p.value_Female rp116 BL6 vs NSG,p.value_Male rp116 BL6 vs NSG
Bag1mmu-sg2,Liver,Log2FC_MetBurden,0.268852183865192,-0.223765071200387,-3.4152938984191,-0.298685259781313,0.566654813202811,0.0899723834703259,0.155634723663702,0.547833728665832,0.291899416914595,-0.200717838150984,-1.97353920415178,1.14306943448601,0.115795022213413,0.656171037835621,0.296255911843696,0.425614810436706
Bag1mmu-sg3,Liver,Log2FC_MetBurden,-0.0157270241192387,-0.0769945804098856,-2.45227155494154,0.721491150064647,0.984082507025875,0.898473281746763,0.412153645435461,0.214977941469607,-0.35569522368673,-0.416962779977377,-1.06429405408059,2.10946865092559,0.394202456598154,0.624839544377783,0.596387191684321,0.0966082768980858
Brk1mmu-sg2,Liver,Log2FC_MetBurden,-0.334856578019959,0.0589990242493503,-1.07213361695978,2.86063169539365,0.818368717630701,0.886842336869293,0.688169175027507,0.00123767255619853,0.348181213146114,0.742036815415425,1.80178519204262,5.73455050439605,0.792446947313276,0.331164284748409,0.459515517154913,0.00192143629493719
Cdh6mmu-sg3,Liver,Log2FC_MetBurden,3.03121521105112,0.219570016170805,2.06503405312234,1.0469756270161,0.281773502352765,0.656624485018904,0.495446961043245,0.101740378023017,2.67383903762845,-0.13780615725187,2.17945369115816,1.16139526505192,0.32221555746408,0.873442453046927,0.418975143973234,0.0356188548143915
Chd7mmu-sg1,Liver,Log2FC_MetBurden,-1.3850166646483,-0.0192641510717029,-1.57131010931412,1.66204289313163,0.108726690790751,0.93247904286526,0.52447777756994,0.334279163889442,-0.408103263593705,0.957649249982896,-2.38835064332125,0.845002359124498,0.55478117664648,0.064085735953315,0.316636173255491,0.631708834908065
Chd7mmu-sg3,Liver,Log2FC_MetBurden,-0.139882718713342,-0.621088986760094,0,0,0.860159301171542,0.106954381129091,0,0,-0.109472426426188,-0.590678694472939,0,0,0.887479970376144,0.16132005313353,0,0
Crebbpmmu-sg1,Liver,Log2FC_MetBurden,3.91631524315284,-0.135106093968098,0.0581470190802819,1.0143870003506,0.064237008795061,0.426302144577214,0.950712113096726,0.0135788781636569,4.1553738062681,0.103952469147162,-0.169575019345535,0.786664961924788,0.0513190953702327,0.691281193396848,0.800993210753322,0.303309196355901
Crebbpmmu-sg2,Liver,Log2FC_MetBurden,0.0539811458745633,0.19071604722459,3.37834940894599,0.214971199570491,0.975193727032595,0.629331684007243,0.109258188164976,0.593992557842065,0.523664591393646,0.660399492743673,2.29746072573093,-0.865917483644572,0.745889158901069,0.394789404802209,0.248060346236476,0.13112785388528
Crebbpmmu-sg3,Liver,Log2FC_MetBurden,-0.306640307358837,0.468689029258661,1.37986217260494,1.15977874644444,0.688708279202828,0.378411266031767,0.275478543347793,0.0100778034087875,-0.364928740622747,0.410400595994751,-0.24234064712623,-0.462424073286731,0.513545918661077,0.582167697512561,0.840953236201273,0.256072789633798
Ctnnd1mmu-sg1,Liver,Log2FC_MetBurden,0.874097892191739,-0.143026698695643,2.94959853024702,-0.0962558137522979,0.428004359174984,0.388669876399066,0.182915729402321,0.803153876225376,1.14287686107428,0.125752270186897,2.14946028319595,-0.896394060803365,0.280687128968668,0.749566938988922,0.275794888159198,0.360609136277756
Ctnnd1mmu-sg2,Liver,Log2FC_MetBurden,-0.0294842472001253,-0.0918114048166075,-0.795161194885411,-0.491508668300117,0.962930533121063,0.66681222086608,0.704338146097919,0.0793575077619887,-0.196382099042632,-0.258709256659114,1.77856345029616,2.08221597688145,0.635787837725073,0.626303991164097,0.146600798347852,0.257910244304304
Ctnnd1mmu-sg3,Liver,Log2FC_MetBurden,-0.707002369465181,-0.355754856002067,4.29432515373597,0.191231506013235,0.209678510613935,0.498976529764859,0.0356660164894214,0.733768564161286,-0.0888027746142105,0.262444738848903,4.17427866441507,0.0711850166923327,0.789298404873088,0.695351259895022,0.0150170696269227,0.93126956373604
Gabrr1mmu-sg2,Liver,Log2FC_MetBurden,0.354533996992708,0.232146406029397,3.66239969067163,0.325344175663546,0.630668091506244,0.647764451008005,0.197521999686427,0.37338443973115,-0.0179627140732695,-0.140350305036581,4.53984232552775,1.20278681051966,0.981379292846458,0.753168575363954,0.0475314974778034,0.286449571354028
Gata6mmu-sg1,Liver,Log2FC_MetBurden,-0.379417408924929,0.529349768881983,1.06161856123089,-0.06837879003347,0.71991066178032,0.0200979449297514,0.604959987242336,0.886460648654812,-0.136451572632345,0.772315605174566,1.74816282809318,0.618165476828821,0.896221040958147,0.00841787576855891,0.263182401456449,0.638034636711105
Gata6mmu-sg3,Liver,Log2FC_MetBurden,-1.47455646061992,0.457893565930939,1.07850449469666,0.396254887652713,0.495979550370049,0.408743732393936,0.678804564923215,0.371028420037635,0.8230923615657,2.75554238811656,1.42248845273655,0.740238845692601,0.313365411212708,0.203783105228357,0.440085668863477,0.662864940053404
Gpatch8mmu-sg1,Liver,Log2FC_MetBurden,3.29283638343993,-0.438882237241419,0.684911023576683,0.178673010786245,0.251543967172005,0.18265871079411,0.857417190201053,0.729728940058364,4.90803782169891,1.17631920101756,-0.269219625474607,-0.775457638265045,0.100171984594413,0.0346023332616502,0.936952198793921,0.574749647241515
Gpatch8mmu-sg2,Liver,Log2FC_MetBurden,-0.359912928982469,0.686462083257611,1.29527509605527,2.34882570175198,0.750940464545537,0.0321864399636683,0.0847175478367147,0.014443715208355,0.698595566798768,1.74497057903885,-0.144161199178937,0.909389406517773,0.203022795532662,0.0872122788885707,0.870612095582376,0.231493712849795
Gpatch8mmu-sg3,Liver,Log2FC_MetBurden,2.81498885027762,-0.440129793991158,3.0138074011072,0.614588161001256,0.123308344833797,0.13001659864857,0.330078916459282,0.11557026614583,3.53372748636405,0.278608842095276,2.32405550634051,-0.07516373376543,0.050727991370106,0.65999920281927,0.399301507099406,0.956128455653154
Inpp5emmu-sg1,Liver,Log2FC_MetBurden,-2.99278946230167,-0.449202023642498,4.61713976242977,0.302587631048624,0.263207130152606,0.427759858465628,0.03595670673714,0.707894546891673,-0.51894254358706,2.02464489507211,4.88300218163719,0.568450050256042,0.709447232225768,0.376118784671916,5.6824387636767e-05,0.771201179024684
Inpp5emmu-sg2,Liver,Log2FC_MetBurden,3.44142119852705,-0.278913658350902,0.278492304921516,-0.078742619895525,0.0118507900780888,0.622994661902409,0.926168738029607,0.9439454518829,3.10117981474237,-0.619155042135581,2.21990666527672,1.86267174045968,0.0129417590830234,0.39544126013289,0.323451148678189,0.356042914360531
KMT5Bmmu-sg1,Liver,Log2FC_MetBurden,4.89208272215483,1.04097466307661,1.53987526292309,-0.828440334844053,0.088405896226759,0.045567334026063,0.35657806857094,0.314182913171194,4.44795736384454,0.596849304766323,2.13466457033843,-0.23365102742871,0.114720501300252,0.224714140634622,0.108756340747595,0.840414884745143
KMT5Bmmu-sg2,Liver,Log2FC_MetBurden,1.59798102453688,0.348866089098122,1.15098277408392,-0.277441010602414,0.252732238273185,0.207432260085373,0.582822761043674,0.615195123252188,1.87485585711994,0.625740921681186,1.65988529337144,0.231461508685098,0.127513857607278,0.414872247654482,0.00135241073912587,0.860715294279929
KMT5Bmmu-sg3,Liver,Log2FC_MetBurden,1.37803572717636,-0.784695067457368,3.69913437553265,-0.0314960340411825,0.155317816655725,0.114229790333529,0.102259503597292,0.961039698622119,1.54933832591817,-0.613392468715559,3.37893951630193,-0.351690893271905,0.112950076778543,0.21738215213641,0.105720568756161,0.73104846081076
Kctd10mmu-sg2,Liver,Log2FC_MetBurden,3.18015617254004,0.305866337069627,-2.36920250234109,0.787173322470436,0.292288155696651,0.390321165604276,0.304871346911739,0.139007597040998,5.70471704789488,2.83042721242446,-2.34623135933749,0.810144465474037,0.0154942782969224,0.178137257325946,0.0910750248360094,0.33884746657489
Kdm5ammu-sg1,Liver,Log2FC_MetBurden,3.48453791035457,-0.544902271981863,0,0,0.362992447064427,0.595240349661468,0,0,2.51295438396952,-1.51648579836691,0,0,0.370957930819404,0.180853118540434,0,0
Lamc1mmu-sg2,Liver,Log2FC_MetBurden,1.17745770787042,0.867981209211863,-2.42304993289138,0.504754729253827,0.364867014780866,0.0584908891011906,0.457318297601491,0.284670688799631,0.713184239677652,0.403707741019094,-1.38697344369614,1.54083121844907,0.572500189791363,0.379169273168321,0.360531462830652,0.456339968086606
Maddmmu-sg1,Liver,Log2FC_MetBurden,2.58362399861758,0.233183202999651,3.95959658407989,-0.484302644194812,0.160618863549742,0.589674733810769,0.221106488277206,0.392370884016516,2.88467416987512,0.534233374257191,6.22622057721726,1.78232134894256,0.101700088195147,0.483570637817496,0.011708700924817,0.356069322703308
Maddmmu-sg3,Liver,Log2FC_MetBurden,-2.49388661274805,-0.444451282701983,-0.406252288109574,0.754792255105523,0.340449659108386,0.314418359347896,0.911021294306798,0.320411901990465,-0.0383522995930001,2.01108303045307,3.20724016053439,4.36828470374948,0.950720961565417,0.430331298387349,0.0670574041706822,0.0594996086082208
Mgammu-sg1,Liver,Log2FC_MetBurden,2.94793828855016,-0.00721402657917986,-0.192733414186338,-2.77502633615598,0.205652165650136,0.983796236319036,0.928782047262526,0.245368103267301,3.55890568479565,0.603753369666317,2.79286155844092,0.210568636471278,0.137901050818152,0.0638935735874853,0.0103392793522337,0.943442381107784
Ptenmmu-sg1,Liver,Log2FC_MetBurden,2.14076755352547,0.211754751641074,-2.87882566387034,0.656953582528818,0.564621890941581,0.665804622371238,0.302024848854294,0.167519401778659,8.78709050986284,6.85807770797845,-1.86377313480787,1.67200611159129,0.00342643939010625,0.0300034320851977,0.253459076920246,0.462873416082123
Runx1t1mmu-sg2,Liver,Log2FC_MetBurden,1.02680240997721,0.146613632463383,1.20056409517495,0.400719792251712,0.39477235772138,0.541334188979229,0.451301885211436,0.558112823086316,0.887261516051366,0.00707273853753635,1.13119359562214,0.331349292698907,0.377254014346643,0.991896758446454,0.419313900841544,0.744382987212414
Runx1t1mmu-sg3,Liver,Log2FC_MetBurden,2.31653005423394,-0.209027208229066,0.10405253256298,0.0559792456186462,0.40170813625138,0.696130542997986,0.969938732994913,0.797158230557734,3.27373513728,0.748177874816994,0.330947781381974,0.28287449443764,0.201363501192007,0.568132116583431,0.892653988685131,0.826642193673907
Trip12mmu-sg3,Liver,Log2FC_MetBurden,-0.921874876043112,-0.0128226723752577,0,0.102773918055077,0.71945462772477,0.973718366433417,0,0.939710225275615,2.1636162412571,3.07266844492496,0,-1.59157717205349,0.355557073459046,0.0322186562067098,0,0.377002775730232
Tsc1mmu-sg1,Liver,Log2FC_MetBurden,1.58783889130807,0.15531373398094,2.78750072179669,0.386217340462753,0.574781553972109,0.785691916140382,0.311617889811049,0.285631650337177,1.94333810896806,0.51081295164093,2.29136743274179,-0.109915948592146,0.488715212272652,0.492783073070642,0.389214910820077,0.836616860041626
Tsc1mmu-sg2,Liver,Log2FC_MetBurden,0.460766458493406,-0.698772386498689,-0.354169037698647,1.01152065659012,0.799136653682328,0.0831373844370425,0.676620183946974,0.00706660369227326,1.01505234921757,-0.144486495774524,-0.742063485322585,0.623626208966179,0.533304980566649,0.872544002999622,0.219175324309782,0.374288707550207
Tsc2mmu-sg1,Liver,Log2FC_MetBurden,5.84708024894993,-1.18568497369686,4.73964196629742,0.474692517013294,0.0681110680329871,0.0907096373371783,0.0166344451199038,0.301405913267349,6.07415921646973,-0.958606006177058,3.61986992627145,-0.645079523012683,0.0459760126051911,0.448951098611613,0.0434633089829696,0.31963571938556
Zc3h7ammu-sg2,Liver,Log2FC_MetBurden,0.577852065960573,-0.260360631658675,5.82814984140924,0.473603436845773,0.486151893159445,0.465810639228723,0.00872213133182497,0.579290179568637,0.941957180423049,0.103744482803801,5.83156839588225,0.477021991318781,0.140310998399884,0.87543031794136,0.000682232509670696,0.739195477695044
