gene,n_colonies,power
Abcb10,1,0
Abcb10,6,0
Abcb10,11,0
Abcb10,16,0
Abcb10,21,0
Abcb10,26,0
Abcb10,31,0
Abcb10,36,0
Abcb10,41,0
Abcb10,46,0
Abcb10,51,0
Abcb10,56,0
Abcb10,61,0
Abcb10,66,0
Abcb10,71,0
Abcb10,76,0
Abcb10,81,0
Abcb10,86,0
Abcb4,1,0
Abcb4,6,0
Abcb4,11,0
Abcb4,16,0
Abcb4,21,0
Abcb4,26,0
Abcb4,31,0
Abcb4,36,0
Abcb4,41,0
Abcb4,46,0
Abcb4,51,0
Abcb4,56,0
Abcb4,61,0
Abcb4,66,0
Abcb4,71,0
Abcb4,76,0
Abcb4,81,0
Abcb4,86,0
Abcb4,91,0.07
Abcb4,96,0.18
Abcb4,101,0.43
Abcb4,106,0.66
Abcb4,111,0.87
Abcb4,116,0.97
Abtb1,1,0
Abtb1,6,0
Abtb1,11,0
Abtb1,16,0
Abtb1,21,0
Abtb1,26,0
Abtb1,31,0
Abtb1,36,0
Abtb1,41,0
Abtb1,46,0
Abtb1,51,0
Abtb1,56,0
Abtb1,61,0
Abtb1,66,0
Abtb1,71,0
Abtb1,76,0
Abtb1,81,0
Abtb1,86,0
Abtb1,91,0
Abtb1,96,0
Abtb1,101,0
Abtb1,106,0
Abtb1,111,0
Abtb1,116,0.01
Abtb1,121,0
Abtb1,126,0.02
Abtb1,131,0.02
Abtb1,136,0.02
Abtb1,141,0.05
Abtb1,146,0.08
Abtb1,151,0.19
Abtb1,156,0.28
Abtb1,161,0.44
Abtb1,166,0.6
Abtb1,171,0.55
Abtb1,176,0.68
Abtb1,181,0.82
Abtb1,186,0.87
Abtb1,191,0.94
Abtb1,196,1
Abtb1,201,1
Abtb1,206,1
Abtb1,211,1
Acin1,1,0
Acin1,6,0
Acin1,11,0
Acin1,16,0
Acin1,21,0
Acin1,26,0
Acin1,31,0
Acin1,36,0.02
Acin1,41,0.03
Acin1,46,0.08
Acin1,51,0.29
Acin1,56,0.35
